,Mesoregion,Microregion,City,Population,Longitude,Latitude
0,São José do Rio Preto,Jales,Aparecida d'Oeste,4196,-50.8808706,-20.4498109
1,São José do Rio Preto,Jales,Aspásia,1822,-50.728046,-20.160028
2,São José do Rio Preto,Jales,Dirce Reis,1793,-50.606276,-20.4664067
3,São José do Rio Preto,Jales,Dolcinópolis,2115,-50.513261,-20.1230736
4,São José do Rio Preto,Jales,Jales,49107,-50.5492435,-20.2671767
5,São José do Rio Preto,Jales,Marinópolis,2112,-50.8227778,-20.4408333
6,São José do Rio Preto,Jales,Mesópolis,1908,-50.6190438,-19.9662274
7,São José do Rio Preto,Jales,Nova Canaã Paulista,1881,-50.9481571,-20.3872473
8,São José do Rio Preto,Jales,Palmeira d'Oeste,9283,-50.762159,-20.4168187
9,São José do Rio Preto,Jales,Paranapuã,4078,-50.5858761,-20.1033995
10,São José do Rio Preto,Jales,Pontalinda,4628,-50.5235329,-20.44071
11,São José do Rio Preto,Jales,Populina,4169,-50.5372875,-19.9427771
12,São José do Rio Preto,Jales,Rubineia,3148,-50.9995571,-20.1718325
13,São José do Rio Preto,Jales,Santa Albertina,6008,-50.7278392,-20.0323485
14,São José do Rio Preto,Jales,Santa Clara d'Oeste,2115,-50.9263889,-20.0938889
15,São José do Rio Preto,Jales,Santa Fé do Sul,32322,-50.9270837,-20.2106188
16,São José do Rio Preto,Jales,Santa Rita d'Oeste,2498,-50.8317569,-20.1448079
17,São José do Rio Preto,Jales,Santa Salete,1545,-50.6889625,-20.2451795
18,São José do Rio Preto,Jales,Santana da Ponte Pensa,1487,-50.7975649,-20.2543758
19,São José do Rio Preto,Jales,São Francisco,2821,-50.696603,-20.3604438
20,São José do Rio Preto,Jales,Três Fronteiras,5807,-50.890528,-20.234355
21,São José do Rio Preto,Jales,Urânia,9114,-50.6450868,-20.244491
22,São José do Rio Preto,Jales,Vitória Brasil,1840,-50.4847947,-20.1978821
23,São José do Rio Preto,Fernandópolis,Estrela d'Oeste,8419,-50.3986216,-20.2860692
24,São José do Rio Preto,Fernandópolis,Fernandópolis,69116,-50.2500762,-20.2825647
25,São José do Rio Preto,Fernandópolis,Guarani d'Oeste,2000,-50.3379634,-20.0737613
26,São José do Rio Preto,Fernandópolis,Indiaporã,3897,-50.2906035,-19.9802644
27,São José do Rio Preto,Fernandópolis,Macedônia,3698,-50.193911,-20.1454034
28,São José do Rio Preto,Fernandópolis,Meridiano,3836,-50.172574,-20.3547223
29,São José do Rio Preto,Fernandópolis,Mira Estrela,3086,-50.136873,-19.9806298
30,São José do Rio Preto,Fernandópolis,Ouroeste,10361,-50.3736414,-20.0013584
31,São José do Rio Preto,Fernandópolis,Pedranópolis,2494,-50.1102463,-20.249177
32,São José do Rio Preto,Fernandópolis,São João das Duas Pontes,2568,-50.378858,-20.3878223
33,São José do Rio Preto,Fernandópolis,Turmalina,1727,-50.4763212,-20.0530658
34,São José do Rio Preto,Votuporanga,Álvares Florence,3679,-49.9085255,-20.3205523
35,São José do Rio Preto,Votuporanga,Américo de Campos,5969,-49.735904,-20.298476
36,São José do Rio Preto,Votuporanga,Cardoso,12326,-49.9139767,-20.080447
37,São José do Rio Preto,Votuporanga,Cosmorama,7307,-49.7787881,-20.47705
38,São José do Rio Preto,Votuporanga,Parisi,2161,-50.0135808,-20.3039424
39,São José do Rio Preto,Votuporanga,Pontes Gestal,2577,-49.7031406,-20.1833464
40,São José do Rio Preto,Votuporanga,Riolândia,12518,-49.6814309,-19.980944
41,São José do Rio Preto,Votuporanga,Valentim Gentil,13326,-50.0861511,-20.4226107
42,São José do Rio Preto,Votuporanga,Votuporanga,94547,-49.972028,-20.4252908
43,São José do Rio Preto,São José do Rio Preto,Adolfo,3562,-49.6441918,-21.2356597
44,São José do Rio Preto,São José do Rio Preto,Altair,4160,-49.0606135,-20.5238955
45,São José do Rio Preto,São José do Rio Preto,Bady Bassitt,17502,-49.4517911,-20.9178969
46,São José do Rio Preto,São José do Rio Preto,Bálsamo,9068,-49.5807484,-20.7343722
47,São José do Rio Preto,São José do Rio Preto,Cedral,9237,-49.2699665,-20.9028433
48,São José do Rio Preto,São José do Rio Preto,Guapiaçu,21454,-49.2253917,-20.79663
49,São José do Rio Preto,São José do Rio Preto,Guaraci,11188,-48.9452074,-20.4976771
50,São José do Rio Preto,São José do Rio Preto,Ibirá,12393,-49.2424619,-21.0815104
51,São José do Rio Preto,São José do Rio Preto,Icém,8243,-49.1970982,-20.3413103
52,São José do Rio Preto,São José do Rio Preto,Ipiguá,5392,-49.3881146,-20.657282
53,São José do Rio Preto,São José do Rio Preto,Jaci,7067,-49.5710544,-20.8844434
54,São José do Rio Preto,São José do Rio Preto,José Bonifácio,37015,-46.434766582997995,-23.564090999999998
55,São José do Rio Preto,São José do Rio Preto,Mendonça,5490,-49.579059,-21.1838813
56,São José do Rio Preto,São José do Rio Preto,Mirassol,59824,-49.507449,-20.8141411
57,São José do Rio Preto,São José do Rio Preto,Mirassolândia,4871,-49.462817,-20.6147204
58,São José do Rio Preto,São José do Rio Preto,Nova Aliança,6973,-49.4981128,-21.0163728
59,São José do Rio Preto,São José do Rio Preto,Nova Granada,21500,-49.3186951,-20.5345426
60,São José do Rio Preto,São José do Rio Preto,Olímpia,54772,-48.910625,-20.736634
61,São José do Rio Preto,São José do Rio Preto,Onda Verde,4381,-49.2950997,-20.6071428
62,São José do Rio Preto,São José do Rio Preto,Orindiúva,7066,-49.3508333,-20.1819444
63,São José do Rio Preto,São José do Rio Preto,Palestina,12957,-49.4320384,-20.389344
64,São José do Rio Preto,São José do Rio Preto,Paulo de Faria,8945,-49.3998592,-20.029593
65,São José do Rio Preto,São José do Rio Preto,Planalto,5237,-49.9286556,-21.0342886
66,São José do Rio Preto,São José do Rio Preto,Potirendaba,17361,-49.3767154,-21.0457369
67,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,460671,-49.3804212,-20.8125851
68,São José do Rio Preto,São José do Rio Preto,Tanabi,25967,-49.6519879,-20.6251635
69,São José do Rio Preto,São José do Rio Preto,Ubarana,6309,-49.7167796,-21.1637674
70,São José do Rio Preto,São José do Rio Preto,Uchoa,10110,-49.171295,-20.951106
71,São José do Rio Preto,São José do Rio Preto,Zacarias,2718,-50.0508333,-21.0519444
72,São José do Rio Preto,Catanduva,Ariranha,9668,-48.790418,-21.18716
73,São José do Rio Preto,Catanduva,Cajobi,10542,-48.8106972,-20.8776238
74,São José do Rio Preto,Catanduva,Catanduva,121862,-48.9712817,-21.1331035
75,São José do Rio Preto,Catanduva,Catiguá,7804,-49.0578923,-21.0491485
76,São José do Rio Preto,Catanduva,Elisiário,3651,-49.1111015,-21.1673392
77,São José do Rio Preto,Catanduva,Embaúba,2452,-48.837455,-20.9819513
78,São José do Rio Preto,Catanduva,Novais,5830,-48.9188283,-20.9941576
79,São José do Rio Preto,Catanduva,Palmares Paulista,13275,-48.803656,-21.085369
80,São José do Rio Preto,Catanduva,Paraíso,6454,-48.776105,-21.015911
81,São José do Rio Preto,Catanduva,Pindorama,17049,-49.0232348,-21.9549806
82,São José do Rio Preto,Catanduva,Santa Adélia,15480,-48.8061481,-21.2432992
83,São José do Rio Preto,Catanduva,Severínia,17496,-48.80538,-20.810753
84,São José do Rio Preto,Catanduva,Tabapuã,12407,-49.0332398,-20.9648397
85,São José do Rio Preto,Auriflama,Auriflama,15189,-50.5554616,-20.6840418
86,São José do Rio Preto,Auriflama,Floreal,2917,-50.1455638,-20.6767063
87,São José do Rio Preto,Auriflama,Gastão Vidigal,4808,-50.1907615,-20.7956829
88,São José do Rio Preto,Auriflama,General Salgado,10869,-50.3608101,-20.6488139
89,São José do Rio Preto,Auriflama,Guzolândia,5267,-50.6622974,-20.6491637
90,São José do Rio Preto,Auriflama,Magda,3119,-50.2260983,-20.6444651
91,São José do Rio Preto,Auriflama,Nova Castilho,1267,-50.3427479,-20.7638386
92,São José do Rio Preto,Auriflama,Nova Luzitânia,4101,-50.2619444,-20.8558333
93,São José do Rio Preto,Auriflama,São João de Iracema,1922,-50.352595,-20.5134345
94,São José do Rio Preto,Nhandeara,Macaubal,8120,-49.9648439,-20.8071616
95,São José do Rio Preto,Nhandeara,Monções,2259,-50.097537,-20.850949
96,São José do Rio Preto,Nhandeara,Monte Aprazível,25087,-49.7088402,-20.7625702
97,São José do Rio Preto,Nhandeara,Neves Paulista,8930,-49.635767,-20.842992
98,São José do Rio Preto,Nhandeara,Nhandeara,11478,-50.0406162,-20.6942747
