,City,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Aparecida d'Oeste,-20.4498109,-50.8808706,Farmácia do Pedro,-20.45115852355957,-50.8818473815918,Pharmacy
1,Aparecida d'Oeste,-20.4498109,-50.8808706,Bar do Fabião,-20.45006043436809,-50.88646920114723,African Restaurant
2,Dirce Reis,-20.466406699999997,-50.606276,Padaria Doce Pao,-20.464829815108036,-50.60696153235096,Bakery
3,Dolcinópolis,-20.1230736,-50.513261,Calor de Dolci 👎🌜🌞,-20.125023,-50.510453,Summer Camp
4,Dolcinópolis,-20.1230736,-50.513261,Sitio 🌲🍃🍂🌴🍀,-20.124985,-50.510389,Tree
5,Jales,-20.2671767,-50.5492435,TNT ROCK-BEER,-20.268652974682194,-50.5474161852432,Bar
6,Jales,-20.2671767,-50.5492435,Sorveteria Maribella,-20.270631845354814,-50.551820421136654,Ice Cream Shop
7,Jales,-20.2671767,-50.5492435,Gelato Show,-20.271198456192288,-50.5479033947293,Ice Cream Shop
8,Jales,-20.2671767,-50.5492435,Chiquinho Sorvetes Jales,-20.269439744434564,-50.54831255945524,Ice Cream Shop
9,Jales,-20.2671767,-50.5492435,Coffee Show,-20.27017510746443,-50.546514169401426,Café
10,Jales,-20.2671767,-50.5492435,Picanharia Jales,-20.273374,-50.555617,Restaurant
11,Jales,-20.2671767,-50.5492435,Posto Universitário Convenience,-20.27260551063838,-50.5452759288702,Convenience Store
12,Jales,-20.2671767,-50.5492435,Sakashita Supermercados,-20.266396442636044,-50.54520562518403,Big Box Store
13,Jales,-20.2671767,-50.5492435,Pesqueiro da Familia,-20.272612569399097,-50.556193045018325,Fish & Chips Shop
14,Jales,-20.2671767,-50.5492435,Bella Pasta (Cantina Bella Pasta),-20.279860255569595,-50.543019091277216,Italian Restaurant
15,Jales,-20.2671767,-50.5492435,Tay Sushi Bar,-20.27987612375177,-50.543040734702906,Japanese Restaurant
16,Jales,-20.2671767,-50.5492435,Almanah,-20.27323564433504,-50.54505214182154,Bar
17,Jales,-20.2671767,-50.5492435,Containers Hamburgueria,-20.272288829526982,-50.551454849966206,Burger Joint
18,Jales,-20.2671767,-50.5492435,Paes & CIA,-20.269021833987583,-50.54506811225027,Bakery
19,Jales,-20.2671767,-50.5492435,Droga Raia,-20.27053372844512,-50.5470506312869,Optical Shop
20,Jales,-20.2671767,-50.5492435,Sorveteria Pingo De Mel,-20.275118650063803,-50.54974065663035,Dessert Shop
21,Jales,-20.2671767,-50.5492435,Abeledos,-20.273073,-50.547633,Pizza Place
22,Jales,-20.2671767,-50.5492435,Ilda Pastelaria,-20.271894429071285,-50.547338842726845,Food Truck
23,Jales,-20.2671767,-50.5492435,La Viera Pizzaria,-20.261473930528478,-50.54891078681358,Pizza Place
24,Jales,-20.2671767,-50.5492435,Grandes Lagos Park Hotel,-20.264100371422806,-50.53703007971698,Hotel
25,Jales,-20.2671767,-50.5492435,Pesqueiro do Oiti,-20.27278526104711,-50.55620349805941,Fish & Chips Shop
26,Jales,-20.2671767,-50.5492435,Takedas Restaurante,-20.269232664427236,-50.54661073218872,Asian Restaurant
27,Jales,-20.2671767,-50.5492435,Proença Supermercado,-20.26310667963261,-50.54073172838985,Supermarket
28,Jales,-20.2671767,-50.5492435,"Teatro Municipal de Jales (Centro Cultural Dr. ""Edílio Ridolfo"")",-20.27223196657901,-50.548597887298925,Theater
29,Jales,-20.2671767,-50.5492435,Olices Lanches,-20.248259493706595,-50.55641565768274,Food Truck
30,Jales,-20.2671767,-50.5492435,Padaria Avenida,-20.27619658605739,-50.54335857215487,Bakery
31,Jales,-20.2671767,-50.5492435,La Doce Vita- P�es & Tenta��,-20.265297089299583,-50.55189984002444,Bakery
32,Jales,-20.2671767,-50.5492435,Comboio,-20.26880107145303,-50.540376634471635,Food Truck
33,Jales,-20.2671767,-50.5492435,Clube do Garfo,-20.27032514069608,-50.54621963765964,Restaurant
34,Jales,-20.2671767,-50.5492435,Oishii,-20.272593236125882,-50.545219603080376,Japanese Restaurant
35,Jales,-20.2671767,-50.5492435,Estação Café,-20.27069167603534,-50.54582118988037,Coffee Shop
36,Jales,-20.2671767,-50.5492435,Restaurante Sol Nascente,-20.269788914180403,-50.547485477129605,Brazilian Restaurant
37,Jales,-20.2671767,-50.5492435,Carlão Lanches,-20.26809550553564,-50.547485477129605,Food Truck
38,Jales,-20.2671767,-50.5492435,Jales Clube,-20.25356090341634,-50.53212613727075,Tennis Stadium
39,Jales,-20.2671767,-50.5492435,Coutinho Sucos,-20.27062045657721,-50.50653906637057,Food
40,Jales,-20.2671767,-50.5492435,Subway Jales,-20.268189141985527,-50.54862095258104,Sandwich Place
41,Jales,-20.2671767,-50.5492435,Murray Sushi Bar,-20.271219,-50.549218,Japanese Restaurant
42,Jales,-20.2671767,-50.5492435,Angico Restaurante,-20.26366979228847,-50.53745295948681,Fish & Chips Shop
43,Jales,-20.2671767,-50.5492435,BR Mania,-20.26326042449974,-50.541748676018585,Bar
44,Jales,-20.2671767,-50.5492435,Magazine Luiza,-20.27238092876177,-50.547677619283775,Convenience Store
45,Jales,-20.2671767,-50.5492435,Restaurante Dom Lugui,-20.26103570687862,-50.55664828425985,Buffet
46,Jales,-20.2671767,-50.5492435,Massa Pronta,-20.268833086222205,-50.53757082886675,Pizza Place
47,Jales,-20.2671767,-50.5492435,Restaurante da Tia,-20.268762041062903,-50.515178642686344,Brazilian Restaurant
48,Jales,-20.2671767,-50.5492435,Galeria Hotel,-20.271030108279348,-50.547900100413884,Hotel
49,Jales,-20.2671767,-50.5492435,Radical Capacetes,-20.269864119247295,-50.546792759024626,Accessories Store
50,Jales,-20.2671767,-50.5492435,Terminal Rodoviário de Jales,-20.276031199003818,-50.54794278240488,Bus Station
51,Marinópolis,-20.4408333,-50.8227778,Smerus,-20.441492666129314,-50.82407623529434,Clothing Store
52,Marinópolis,-20.4408333,-50.8227778,sorveteria ice mel,-20.44130065914118,-50.824219392295426,Ice Cream Shop
53,Nova Canaã Paulista,-20.3872473,-50.9481571,Bar do Teco,-20.38808976696302,-50.94872407593015,Bar
54,Palmeira d'Oeste,-20.4168187,-50.762159000000004,Hering Store,-20.416645,-50.761054,Boutique
55,Palmeira d'Oeste,-20.4168187,-50.762159000000004,Padaria Ponto Certo,-20.417581171377787,-50.76271062059329,Bakery
56,Palmeira d'Oeste,-20.4168187,-50.762159000000004,Restaurante E Pizzaria Tititi,-20.416776,-50.761779,Asian Restaurant
57,Palmeira d'Oeste,-20.4168187,-50.762159000000004,Igreja Matriz,-20.414999430201238,-50.763283958752424,Plaza
58,Palmeira d'Oeste,-20.4168187,-50.762159000000004,Padaria Franco,-20.4024989811631,-50.76762729144625,Bakery
59,Palmeira d'Oeste,-20.4168187,-50.762159000000004,Pesqueiro Souza,-20.385186,-50.731475,Fishing Spot
60,Paranapuã,-20.1033995,-50.5858761,praça principal paranapua,-20.103128970401638,-50.585880172882305,Plaza
61,Pontalinda,-20.44071,-50.5235329,Pontalinda,-20.440245997266913,-50.523153953179126,Plaza
62,Populina,-19.9427771,-50.5372875,Claudion Sorvetes,-19.943102,-50.538527,Ice Cream Shop
63,Populina,-19.9427771,-50.5372875,Ilha Solteira,-19.936656951904297,-50.56692886352539,Border Crossing
64,Rubineia,-20.1718325,-50.9995571,Restaurante Praia do Sol,-20.180217572039865,-51.00725642128942,Fish & Chips Shop
65,Rubineia,-20.1718325,-50.9995571,Restaurante Angico,-20.182250037606863,-51.01505388233764,Restaurant
66,Rubineia,-20.1718325,-50.9995571,Prainha de Rubinéia,-20.180345168800073,-51.00759147062425,Brazilian Restaurant
67,Rubineia,-20.1718325,-50.9995571,Prainha do Sol,-20.18012647392681,-51.00717381662484,Lake
68,Santa Albertina,-20.032348499999998,-50.727839200000005,Sorveteria Favo de Mel,-20.033626966527518,-50.72756429930164,Ice Cream Shop
69,Santa Albertina,-20.032348499999998,-50.727839200000005,Improvisus Bar,-20.03392976192285,-50.727346249435584,Bar
70,Santa Albertina,-20.032348499999998,-50.727839200000005,Haras RGD,-20.032596,-50.723661,Stables
71,Santa Albertina,-20.032348499999998,-50.727839200000005,Pizzaria Alô Pizza,-20.035802841186523,-50.72553634643555,Pizza Place
72,Santa Albertina,-20.032348499999998,-50.727839200000005,Nakai Supermercado,-20.032138052184067,-50.73466908152221,Grocery Store
73,Santa Albertina,-20.032348499999998,-50.727839200000005,Adelia - vestidos de noiva,-20.039547,-50.763408,Knitting Store
74,Santa Clara d'Oeste,-20.0938889,-50.9263889,Magazine Luiza,-20.086754222915552,-50.92804708016163,Convenience Store
75,Santa Clara d'Oeste,-20.0938889,-50.9263889,Padaria Santa Clara,-20.0948339563229,-50.929023795150236,Bakery
76,Santa Fé do Sul,-20.2106188,-50.927083700000004,Vita Sucos,-20.20929773840323,-50.92920693087757,Juice Bar
77,Santa Fé do Sul,-20.2106188,-50.927083700000004,Sol de Verão,-20.210114656059,-50.9271447554637,Ice Cream Shop
78,Santa Fé do Sul,-20.2106188,-50.927083700000004,Feira - Santa Fé Do Sul,-20.202516357629452,-50.927436640897646,Food Truck
79,Santa Fé do Sul,-20.2106188,-50.927083700000004,BR Mania - Posto SP,-20.212585926048614,-50.921238480606526,Coffee Shop
80,Santa Fé do Sul,-20.2106188,-50.927083700000004,Big Boi,-20.2123479860277,-50.927362042058334,Bar
81,Santa Fé do Sul,-20.2106188,-50.927083700000004,Betinho Pizzaria,-20.2108278690412,-50.92486995242223,Pizza Place
82,Santa Fé do Sul,-20.2106188,-50.927083700000004,Nelson Lanches,-20.209852828852906,-50.92689731080246,Hot Dog Joint
83,Santa Fé do Sul,-20.2106188,-50.927083700000004,Chiquinho Sorvetes,-20.210464468250926,-50.9268668870337,Ice Cream Shop
84,Santa Fé do Sul,-20.2106188,-50.927083700000004,Bar do Ceju,-20.216712229571026,-50.9281594791855,Brazilian Restaurant
85,Santa Fé do Sul,-20.2106188,-50.927083700000004,Praça Da Matriz,-20.210775128164826,-50.92754346734661,Plaza
86,Santa Fé do Sul,-20.2106188,-50.927083700000004,Litani Park Hotel,-20.211138047070307,-50.9289828734246,Hotel
87,Santa Fé do Sul,-20.2106188,-50.927083700000004,Pizzaria Di Napoli,-20.207540106639573,-50.9279300788496,Pizza Place
88,Santa Fé do Sul,-20.2106188,-50.927083700000004,Padaria Sta Cruz,-20.212325593070492,-50.9197462604276,Bakery
89,Santa Fé do Sul,-20.2106188,-50.927083700000004,Restaurante NA ONDA DO PEIXE,-20.21555264975238,-50.929847910068695,Seafood Restaurant
90,Santa Fé do Sul,-20.2106188,-50.927083700000004,Hotel Santa Fé,-20.197152982734718,-50.909694591117706,Hotel
91,Santa Fé do Sul,-20.2106188,-50.927083700000004,Don Valori,-20.208156135600795,-50.926699034591124,Pizza Place
92,Santa Fé do Sul,-20.2106188,-50.927083700000004,Cacau Show,-20.2089725,-50.9281224,Chocolate Shop
93,Santa Fé do Sul,-20.2106188,-50.927083700000004,Proença,-20.198107,-50.924843,Market
94,Santa Fé do Sul,-20.2106188,-50.927083700000004,Restaurante Universitário,-20.197619947729816,-50.92567835417602,Brazilian Restaurant
95,Santa Fé do Sul,-20.2106188,-50.927083700000004,Buteko Lanches,-20.20504009308829,-50.92667868695199,Snack Place
96,Santa Fé do Sul,-20.2106188,-50.927083700000004,Viacosmética,-20.209515161083658,-50.92740611908799,Cosmetics Shop
97,Santa Fé do Sul,-20.2106188,-50.927083700000004,Serv Festa Santa Fe,-20.198341615894282,-50.92536385020249,Bar
98,Santa Fé do Sul,-20.2106188,-50.927083700000004,Sakashita Supermercados,-20.199592946671565,-50.92568878221535,Food Court
99,Santa Fé do Sul,-20.2106188,-50.927083700000004,Fogão a Lenha,-20.188217917697635,-50.932595036780825,Brazilian Restaurant
100,Santa Fé do Sul,-20.2106188,-50.927083700000004,Tokio Sushi Bar,-20.206663628392292,-50.92639472730564,Japanese Restaurant
101,Santa Fé do Sul,-20.2106188,-50.927083700000004,Rock in bar,-20.192262546023514,-50.92655151435468,Diner
102,Santa Fé do Sul,-20.2106188,-50.927083700000004,Supermecado Bom Retiro,-20.213239912445985,-50.91617000003491,Supermarket
103,Santa Fé do Sul,-20.2106188,-50.927083700000004,Absolut Bar,-20.215103402214105,-50.9212104945348,Nightclub
