,City,Population,BBQ Joint,Bakery,Bar,Bed & Breakfast,Brazilian Restaurant,Burger Joint,Café,Coffee Shop,Convenience Store,Dessert Shop,Fast Food Restaurant,Food,Grocery Store,Gym,Hot Spring,Ice Cream Shop,Italian Restaurant,Japanese Restaurant,Market,Park,Pharmacy,Pizza Place,Plaza
0,Adamantina,0.024602744378334956,0.02,0.06,0.1,0.0,0.04,0.04,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.06,0.04,0.14,0.0,0.04,0.04,0.04,0.02,0.06,0.0
1,Adolfo,0.0017394560444464763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,Aguaí,0.025500411097976294,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,0.05263157894736842,0.0
3,Agudos,0.02616005462922446,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.16666666666666666,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664
4,Alambari,0.0035268069987525554,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
5,Alfredo Marcondes,0.002177767037707082,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,Altair,0.002173412954992573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7,Altinópolis,0.010898994714869265,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
8,Alto Alegre,0.0021291464473950613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Alumínio,0.012672557740579397,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
10,Alvinlândia,0.001492724690624281,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Americana,0.17302544163098132,0.01,0.04,0.09,0.0,0.01,0.03,0.02,0.04,0.01,0.08,0.01,0.03,0.03,0.09,0.0,0.02,0.03,0.02,0.0,0.02,0.0,0.05,0.0
12,Amparo,0.051545082535266254,0.02040816326530612,0.04081632653061224,0.14285714285714285,0.0,0.10204081632653061,0.0,0.02040816326530612,0.04081632653061224,0.0,0.04081632653061224,0.0,0.0,0.0,0.061224489795918366,0.061224489795918366,0.04081632653061224,0.0,0.0,0.04081632653061224,0.0,0.0,0.04081632653061224,0.061224489795918366
13,Américo Brasiliense,0.028547543317680404,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.11764705882352941,0.0,0.11764705882352941,0.0
14,Américo de Campos,0.003486168893417135,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
15,Analândia,0.0027793561327617874,0.0,0.0,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
16,Andradina,0.040632299891801046,0.022727272727272728,0.022727272727272728,0.0,0.0,0.045454545454545456,0.06818181818181818,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.022727272727272728,0.022727272727272728,0.06818181818181818,0.06818181818181818,0.06818181818181818,0.0,0.022727272727272728,0.09090909090909091,0.0,0.022727272727272728,0.022727272727272728,0.045454545454545456
17,Angatuba,0.01746204872653966,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842,0.21052631578947367,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842
18,Anhembi,0.004034057634992892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Anhumas,0.0021407573346337526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
