,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,M3A,North York,Parkwoods,43.7532586,-79.3296565,4,Park,Food & Drink Shop,Pool,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center
1,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998,0,Portuguese Restaurant,Hockey Arena,Coffee Shop,Intersection,French Restaurant,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant
2,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,0,Coffee Shop,Park,Bakery,Breakfast Spot,Café,Pub,Theater,Ice Cream Shop,Performing Arts Venue,Shoe Store
3,M6A,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,0,Furniture / Home Store,Clothing Store,Event Space,Accessories Store,Miscellaneous Shop,Vietnamese Restaurant,Boutique,Coffee Shop,Discount Store,Dessert Shop
4,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,0,Coffee Shop,Diner,Gym,Park,Music Venue,Mexican Restaurant,Italian Restaurant,Hobby Shop,General Entertainment,Fried Chicken Joint
5,M1B,Scarborough,"Malvern, Rouge",43.806686299999996,-79.19435340000001,0,Fast Food Restaurant,Women's Store,Dance Studio,Electronics Store,Eastern European Restaurant,Drugstore,Donut Shop,Doner Restaurant,Dog Run,Distribution Center
6,M3B,North York,Don Mills,43.745905799999996,-79.352188,0,Gym,Beer Store,Japanese Restaurant,Restaurant,Coffee Shop,Supermarket,Italian Restaurant,Sporting Goods Shop,Caribbean Restaurant,Discount Store
7,M3C,North York,Don Mills,43.72589970000001,-79.340923,0,Gym,Beer Store,Japanese Restaurant,Restaurant,Coffee Shop,Supermarket,Italian Restaurant,Sporting Goods Shop,Caribbean Restaurant,Discount Store
8,M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,0,Pizza Place,Pet Store,Gastropub,Bank,Intersection,Athletics & Sports,Fast Food Restaurant,Café,Pharmacy,Gym / Fitness Center
9,M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,0,Clothing Store,Coffee Shop,Cosmetics Shop,Bubble Tea Shop,Café,Italian Restaurant,Hotel,Japanese Restaurant,Fast Food Restaurant,Electronics Store
10,M6B,North York,Glencairn,43.709577,-79.44507259999999,0,Park,Bakery,Playground,Pub,Japanese Restaurant,Women's Store,Diner,Deli / Bodega,Department Store,Dessert Shop
11,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.55472440000001,2,Golf Course,Women's Store,Distribution Center,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run
12,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999,0,Golf Course,Bar,Home Service,Women's Store,Discount Store,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center
13,M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887,0,Skating Rink,Beer Store,Athletics & Sports,Bus Stop,Spa,Curling Ice,Pharmacy,Park,Drugstore,Donut Shop
14,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,0,Café,Coffee Shop,Restaurant,Cosmetics Shop,Clothing Store,Cocktail Bar,American Restaurant,Moroccan Restaurant,Breakfast Spot,Gym
15,M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002,0,Trail,Playground,Field,Hockey Arena,Diner,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant
16,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.57720079999999,0,Pet Store,Convenience Store,Beer Store,Shopping Plaza,Liquor Store,Café,Coffee Shop,Pizza Place,Pharmacy,College Stadium
17,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,0,Electronics Store,Restaurant,Rental Car Location,Breakfast Spot,Mexican Restaurant,Bank,Medical Center,Intersection,Dim Sum Restaurant,Dessert Shop
18,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312,0,Trail,Pub,Health Food Store,Discount Store,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner
19,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,0,Coffee Shop,Cocktail Bar,Restaurant,Bakery,Café,Seafood Restaurant,Cheese Shop,Farmers Market,Beer Bar,Japanese Restaurant
20,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,0,Women's Store,Bar,Pool,Park,Gluten-free Restaurant,Gift Shop,Drugstore,Donut Shop,Doner Restaurant,Dog Run
21,M1G,Scarborough,Woburn,43.7709921,-79.21691740000001,0,Coffee Shop,Convenience Store,Korean Restaurant,Women's Store,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
22,M4G,East York,Leaside,43.7090604,-79.3634517,0,Coffee Shop,Sporting Goods Shop,Furniture / Home Store,Burger Joint,Bank,Department Store,Shopping Mall,Fish & Chips Shop,Sports Bar,Pet Store
23,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,0,Coffee Shop,Sandwich Place,Italian Restaurant,Café,Bubble Tea Shop,Japanese Restaurant,Bar,Burger Joint,Thai Restaurant,Salad Place
24,M6G,Downtown Toronto,Christie,43.669542,-79.4225637,0,Grocery Store,Café,Park,Nightclub,Baby Store,Athletics & Sports,Candy Store,Italian Restaurant,Diner,Coffee Shop
25,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999,0,Fried Chicken Joint,Gas Station,Bakery,Hakka Restaurant,Bank,Athletics & Sports,Caribbean Restaurant,Thai Restaurant,Department Store,Dessert Shop
26,M2H,North York,Hillcrest Village,43.8037622,-79.3634517,0,Pool,Golf Course,Athletics & Sports,Dog Run,Mediterranean Restaurant,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant
27,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,0,Coffee Shop,Bank,Park,Frozen Yogurt Shop,Supermarket,Sushi Restaurant,Middle Eastern Restaurant,Shopping Mall,Mobile Phone Shop,Restaurant
28,M4H,East York,Thorncliffe Park,43.7053689,-79.34937190000001,0,Sandwich Place,Indian Restaurant,Housing Development,Restaurant,Pizza Place,Pharmacy,Park,Liquor Store,Gym,Supermarket
29,M5H,Downtown Toronto,"Richmond, Adelaide, King",43.65057120000001,-79.3845675,0,Coffee Shop,Café,Hotel,Restaurant,Gym,Thai Restaurant,Deli / Bodega,Salad Place,Pizza Place,Sushi Restaurant
30,M6H,West Toronto,"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593,0,Bakery,Pharmacy,Grocery Store,Middle Eastern Restaurant,Park,Brewery,Pet Store,Café,Supermarket,Music Venue
31,M1J,Scarborough,Scarborough Village,43.7447342,-79.23947609999999,1,Playground,Women's Store,Discount Store,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center
32,M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,0,Clothing Store,Coffee Shop,Fast Food Restaurant,Restaurant,Bank,Bakery,Electronics Store,Japanese Restaurant,Juice Bar,Rental Car Location
33,M3J,North York,"Northwood Park, York University",43.7679803,-79.48726190000001,0,Miscellaneous Shop,Coffee Shop,Massage Studio,Furniture / Home Store,Bar,Caribbean Restaurant,Metro Station,Women's Store,Diner,Dessert Shop
34,M4J,East York,"East Toronto, Broadview North (Old East York)",43.685347,-79.3381065,4,Park,Rental Car Location,Convenience Store,Diner,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Discount Store,Curling Ice
