,Borough,Neighborhood,Latitude,Longitude
0,North York,Parkwoods,43.7532586,-79.3296565
1,North York,Victoria Village,43.725882299999995,-79.31557159999998
2,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359
3,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999
4,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938
5,Etobicoke,"Islington Avenue, Humber Valley Village",43.6678556,-79.53224240000002
6,Scarborough,"Malvern, Rouge",43.806686299999996,-79.19435340000001
7,North York,Don Mills,43.745905799999996,-79.352188
8,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937
9,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999
10,North York,Glencairn,43.709577,-79.44507259999999
11,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.55472440000001
12,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999
13,North York,Don Mills,43.72589970000001,-79.340923
14,East York,Woodbine Heights,43.695343900000005,-79.3183887
15,Downtown Toronto,St. James Town,43.6514939,-79.3754179
16,York,Humewood-Cedarvale,43.6937813,-79.42819140000002
17,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.57720079999999
18,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115
19,East Toronto,The Beaches,43.67635739999999,-79.2930312
20,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064
21,York,Caledonia-Fairbanks,43.6890256,-79.453512
22,Scarborough,Woburn,43.7709921,-79.21691740000001
23,East York,Leaside,43.7090604,-79.3634517
24,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
25,Downtown Toronto,Christie,43.669542,-79.4225637
26,Scarborough,Cedarbrae,43.773136,-79.23947609999999
27,North York,Hillcrest Village,43.8037622,-79.3634517
28,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593
29,East York,Thorncliffe Park,43.7053689,-79.34937190000001
30,Downtown Toronto,"Richmond, Adelaide, King",43.65057120000001,-79.3845675
31,West Toronto,"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593
32,Scarborough,Scarborough Village,43.7447342,-79.23947609999999
33,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557
34,North York,"Northwood Park, York University",43.7679803,-79.48726190000001
35,East York,"East Toronto, Broadview North (Old East York)",43.685347,-79.3381065
36,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.38175229999999
37,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497
38,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002
39,North York,Bayview Village,43.7869473,-79.385975
40,North York,Downsview,43.737473200000004,-79.46476329999999
41,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188
